,town_symbol,town_name,location_symbol,ballot_address,ballot_location,bldg_nubmer,street,geocode_address,Latitude,Longitude
519,3000,ירושלים,53,"שד נוה יעקב,38 ",ביס נווה בת שבע טבנקין,38,שד נוה יעקב,"שד נוה יעקב 38, ירושלים",31.837826,35.239951
520,3000,ירושלים,124,"צונדק,1 ","חט""ב בנות אור תורה",1,צונדק,"צונדק 1, ירושלים",31.8124341,35.1952508
524,3000,ירושלים,276,"צונדק,26 ","בי""ס אופק",26,צונדק,"צונדק 26, ירושלים",31.8127789,35.1953111
529,3000,ירושלים,23,"לוחמי הגטאות,7 ",אולפנת צביה יצירתית,7,לוחמי הגטאות,"לוחמי הגטאות 7, ירושלים",31.8013751,35.2395233
533,3000,ירושלים,389,"שד דיין משה,135 ",מינהל קהילתי פסגת זאב,135,שד דיין משה,"שד דיין משה 135, ירושלים",31.825032,35.2396583
534,3000,ירושלים,219,"השישה עשר,34 ","בי""ס ממ""ד פסגת דוד",34,השישה עשר,"השישה עשר 34, ירושלים",31.8290148,35.2456958
540,3000,ירושלים,270,"רחמילביץ משה,1 ",אולפנא בני עקיבא,1,רחמילביץ משה,"רחמילביץ משה 1, ירושלים",31.8222822,35.23803
541,3000,ירושלים,263,"טוניק יצחק,21 ","בי""ס ממלכתי ב'-תל""י פ.זאב מז'",21,טוניק יצחק,"טוניק יצחק 21, ירושלים",31.8203714,35.2528149
544,3000,ירושלים,266,"גרשון מאיר,21 ","בי""ס ממלכתי א'-פסגת זאב מזרח",21,גרשון מאיר,"גרשון מאיר 21, ירושלים",31.8194281,35.2451204
547,3000,ירושלים,483,מחנה פליטים קלנדיה,מינהל קהילתי - מעבר קלנדיה,,מחנה פליטים קלנדיה,"מחנה פליטים קלנדיה, ירושלים",31.8648902,35.2290594
552,3000,ירושלים,265,"גרשון מאיר,26 ","בי""ס ממ""ד תורני-פסגת זאב מזרח",26,גרשון מאיר,"גרשון מאיר 26, ירושלים",31.8187419,35.2468242
556,3000,ירושלים,267,"נדבה יוסף,47 ","בי""ס נועם בנות פסגת זאב מזרח",47,נדבה יוסף,"נדבה יוסף 47, ירושלים",31.8153169,35.252547
562,3000,ירושלים,382,"טוניק יצחק,21 ","בית ספר נועם בנים ע""ש זבולון ה",21,טוניק יצחק,"טוניק יצחק 21, ירושלים",31.8203714,35.2528149
567,3000,ירושלים,257,"השישה עשר,19 ","בי""ס ממלכתי א' פ.זאב מרכז",19,השישה עשר,"השישה עשר 19, ירושלים",31.8280894,35.2429261
572,3000,ירושלים,489,"הרב זווין,4 ","בי""ס הצנע לכת",4,הרב זווין,"הרב זווין 4, ירושלים",31.768319,35.21371
577,3000,ירושלים,259,"מזל טלה,11 ","בי""ס ממלכתי פסגת זאב צפון",11,מזל טלה,"מזל טלה 11, ירושלים",31.8359755,35.2355658
584,3000,ירושלים,125,"אידלזון אברהם,30 ","בי""ס ממ""ד הראל",30,אידלזון אברהם,"אידלזון אברהם 30, ירושלים",31.8189492,35.190616
589,3000,ירושלים,256,"חיל האויר,60 ","ישיבת בני עקיבא ""נתיבות חיים""",60,חיל האויר,"חיל האויר 60, ירושלים",31.8297826,35.2399264
593,3000,ירושלים,123,"הרואה,21 ","בי""ס ""תבונת יעקב""",21,הרואה,"הרואה 21, ירושלים",31.815934,35.1978784
596,3000,ירושלים,122,"בובליק גדליה,26 ","בי""ס נועם בנים ובנות",26,בובליק גדליה,"בובליק גדליה 26, ירושלים",31.8144881,35.2025994
601,3000,ירושלים,121,"מעוז,1 ",אהבת ישראל,1,מעוז,"מעוז 1, ירושלים",31.8185364,35.2021766
608,3000,ירושלים,150,"מינץ,45 ",בית יעקב סניף רמת פולין,45,מינץ,"מינץ 45, ירושלים",31.8243691,35.190158
613,3000,ירושלים,129,"רקנטי אברהם,345 ",בית יעקב אוהל רחל,345,רקנטי אברהם,"רקנטי אברהם 345, ירושלים",31.819839,35.188235
616,3000,ירושלים,205,"רקנטי אברהם,6 ",מרכז קהילתי בית-אברהם,6,רקנטי אברהם,"רקנטי אברהם 6, ירושלים",31.8147194,35.1948078
619,3000,ירושלים,334,"הרב זווין,40 ","ת""ת תורת העמק",40,הרב זווין,"הרב זווין 40, ירושלים",31.768319,35.21371
620,3000,ירושלים,374,"אביגור שאול,7 ",מנהל קהילתי חומת שמואל,7,אביגור שאול,"אביגור שאול 7, ירושלים",31.7236055,35.2202565
623,3000,ירושלים,326,"חזון איש,62 ","בי""ס ב.יעקב חזון איש",62,חזון איש,"חזון איש 62, ירושלים",31.768319,35.21371
627,3000,ירושלים,320,"קהילות יעקב,15 ","בי""ס בית יעקב רמת שלמה",15,קהילות יעקב,"קהילות יעקב 15, ירושלים",31.8108171,35.2187535
630,3000,ירושלים,371,"הרב קלכהיים עוזי,1 ","בי""ס אור - רחל",1,הרב קלכהיים עוזי,"הרב קלכהיים עוזי 1, ירושלים",31.8107026,35.2212102
